Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
21/04/2020,Jigawa,2,0,0
21/04/2020,Abia,2,0,0
21/04/2020,Benue,1,0,0
21/04/2020,Anambra,1,0,0
21/04/2020,Sokoto,1,0,0
22/04/2020,Lagos,504,106,15
22/04/2020,FCT,119,35,3
22/04/2020,Kano,73,0,1
22/04/2020,Ogun,24,5,0
22/04/2020,Katsina,21,0,1
22/04/2020,Osun,20,18,0
22/04/2020,Oyo,17,5,1
22/04/2020,Edo,17,7,2
22/04/2020,Kwara,10,2,0
22/04/2020,Akwa Ibom,9,3,1
22/04/2020,Kaduna,9,4,0
22/04/2020,Borno,9,0,2
22/04/2020,Bauchi,8,5,0
22/04/2020,Delta,6,0,1
22/04/2020,Gombe,5,0,0
22/04/2020,Ekiti,4,2,1
22/04/2020,Ondo,3,1,0
22/04/2020,Rivers,3,2,0
22/04/2020,Niger,2,0,0
22/04/2020,Enugu,2,2,0
22/04/2020,Jigawa,2,0,0
22/04/2020,Abia,2,0,0
22/04/2020,Benue,1,0,0
22/04/2020,Anambra,1,0,0
22/04/2020,Sokoto,1,0,0
22/04/2020,Adamawa,1,0,0
23/04/2020,Lagos,582,106,16
23/04/2020,FCT,133,35,3
23/04/2020,Kano,73,0,1
23/04/2020,Ogun,29,5,1
23/04/2020,Katsina,21,0,1
23/04/2020,Osun,20,18,0
23/04/2020,Oyo,17,5,1
23/04/2020,Edo,17,7,2
23/04/2020,Borno,12,0,2
23/04/2020,Kwara,11,2,0
23/04/2020,Akwa Ibom,11,3,1
23/04/2020,Kaduna,9,4,0
23/04/2020,Gombe,9,0,0
23/04/2020,Bauchi,8,5,0
23/04/2020,Delta,6,0,1
23/04/2020,Ekiti,4,2,1
23/04/2020,Ondo,3,1,0
23/04/2020,Rivers,3,2,1
23/04/2020,Niger,2,0,0
23/04/2020,Enugu,2,2,0
23/04/2020,Jigawa,2,0,0
23/04/2020,Abia,2,0,0
23/04/2020,Benue,1,0,0
23/04/2020,Anambra,1,0,0
23/04/2020,Sokoto,1,0,0
23/04/2020,Adamawa,1,0,0
23/04/2020,Plateau,1,0,0
24/04/2020,Lagos,662,116,16
24/04/2020,FCT,138,35,3
24/04/2020,Kano,73,0,1
24/04/2020,Gombe,30,0,0
